input,target,answer_choices,type
"这是关于哪方面的新闻： 故事,文化,娱乐,体育,财经,房产,汽车,教育,科技,军事,旅游,国际,股票,农业,游戏?崔万军合同到期 广州龙狮主教练离职_答案：",体育,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
这是一个完型填空任务。候选的词语有这些：针锋相对，牵肠挂肚，心急如焚，望眼欲穿，不翼而飞，黯然神伤，金石为开，归心似箭，艰苦卓绝，触景伤情。文章内容为：_既然没有了姚明，我们也没有了那么多可以__的东西。不妨放开心思，好好的欣赏一下姚明之外的东西，也许，乐趣就在其中。(嘟嘟)_ 请问：下划线处应该选择哪个词语？_答案：,牵肠挂肚,"['针锋相对', '牵肠挂肚', '心急如焚', '望眼欲穿', '不翼而飞', '黯然神伤', '金石为开', '归心似箭', '艰苦卓绝', '触景伤情']",mrc
哪个类别最好的描述了这篇新闻？汶川地震10周年丨航拍新北川 楼房拔地起 旧貌换新颜_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,国际,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
"“现在买不是很好的时机了”我们这样说有道理吗“现在能以历史最低价买到”？是的,不是,或也许？_答案：",不是,"['是的', '不是', '也许']",nli
"假定下面是真的“他想起方才王琦瑶关于指纹的话,就找一块抹布将所有的家什抹了一遍”因此,“他做了亏心事”是必然的,可能的,或不可能？_答案：",可能的,"['必然的', '可能的', '不可能']",nli
哪个类别最好的描述了这个APP应用程序？平台简介有信钱包&mdash;&mdash;您的随身银行，为您提供专业的借钱借款快贷款金融平台。有信钱包为您提供低息借贷产品、征信查询、信用卡办理和理财资讯。平台利用大数据技术，为用户匹配推荐最适合的低费率、放款快的贷款产品，是一款满足个人和中小企业各种现金借贷需求的贷款APP。产品特点1.操作简单仅需身份证，1分钟即可完成申请；2.额度灵活贷款金额100元100万不等，任你借；3.极速贷款30秒审批，3分钟到账；4.超低月息灵活分期，让你贷款无忧；5.征信查询一键查询网贷报告，快速了解您的信用情况；6.安全保障信息安全，息费透明，保护您的隐私安全_选项：银行，社区，电商，支付，经营，卡牌，借贷，驾校，理财，职考，新闻，旅游，交通，魔幻，医疗，影像，动作，工具，体育，小说，运动，相机，工具，快递，教育，股票，菜谱，行车，仙侠，亲子，购物，射击，漫画，小学，同城，成人，求职，电子，艺术，赚钱，约会，经营，兼职，视频，音乐，英语，棋牌，摄影，养生，办公，政务，视频，论坛，彩票，直播，其他，休闲，策略，通讯，买车，违章，地图，民航，电台，语言，搞笑，婚恋，超市，养车，杂志，在线，家政，影视，装修，资讯，社交，餐饮，美颜，挂号，飞行，预定，票务，笔记，买房，外卖，母婴，打车，情侣，日程，租车，博客，百科，绘画，铁路，生活，租房，酒店，保险，问答，收款，竞技，唱歌，技术，减肥，工作，团购，记账，女性，公务，二手，美妆，汽车，行程，免费，教辅，两性，出国，婚庆，民宿_答案：,借贷,"['银行', '社区', '电商', '支付', '经营', '卡牌', '借贷', '驾校', '理财', '职考', '新闻', '旅游', '交通', '魔幻', '医疗', '影像', '动作', '工具', '体育', '小说', '运动', '相机', '工具', '快递', '教育', '股票', '菜谱', '行车', '仙侠', '亲子', '购物', '射击', '漫画', '小学', '同城', '成人', '求职', '电子', '艺术', '赚钱', '约会', '经营', '兼职', '视频', '音乐', '英语', '棋牌', '摄影', '养生', '办公', '政务', '视频', '论坛', '彩票', '直播', '其他', '休闲', '策略', '通讯', '买车', '违章', '地图', '民航', '电台', '语言', '搞笑', '婚恋', '超市', '养车', '杂志', '在线', '家政', '影视', '装修', '资讯', '社交', '餐饮', '美颜', '挂号', '飞行', '预定', '票务', '笔记', '买房', '外卖', '母婴', '打车', '情侣', '日程', '租车', '博客', '百科', '绘画', '铁路', '生活', '租房', '酒店', '保险', '问答', '收款', '竞技', '唱歌', '技术', '减肥', '工作', '团购', '记账', '女性', '公务', '二手', '美妆', '汽车', '行程', '免费', '教辅', '两性', '出国', '婚庆', '民宿']",classify
联合制碱法又称侯氏制碱法，用于在工业上制取纯碱（NaCO），由化学家侯德榜于1939年发明，是世界上广泛采用的制纯碱法。具体过程为：在饱和氨盐水中（氨气，氯化钠都达到饱和的溶液）通入二氧化碳从而发生如下反应：反应中的碳酸氢钠由于溶解度低而析出，可以进一步煅烧分解为碳酸钠，水和二氧化碳，其中二氧化碳可以再次进入反应重复利用。为了获取存留在溶液中的氯化铵，在废液中加入氯化钠，并在30－40℃下向废液中通入氨气，然后降温到10℃以下，由于氯化铵在30℃时的溶解度比氯化钠大，而在10℃下溶解度比氯化钠小，以及同离子效应，使氯化铵从母液析出，其母液又可作为下一次制碱的原料，重复利用。所谓“联合制碱法”中的“联合”，指该法将合成氨工业与制碱工业组合在一起，利用了生产氨时的副产品二氧化碳，革除了用石灰石加热分解来生产的氨碱法，简化了生产设备。此外，联合制碱法也避免了生产氨碱法中用处不大的副产物氯化钙，而用可作化肥的氯化铵来回收，相比于氨碱法更环保。联合制碱法也存在不足。较氨碱法而言，它的用氨量较大，在有些情况下不适用。_问题：联合制碱法存在不足吗？_回答：,较氨碱法而言，它的用氨量较大，在有些情况下不适用。,[],mrc
根据文章的意思来回答问题：_段落：我跟你们这些大学生不一样，我必须一边工作一边学习汉语，白天上班，晚上上课，虽然很累，但是觉得很有意思。 _问：他不想学了，因为上着班学汉语太累。 选项：正确，错误_答案：,错误,"['正确', '错误']",mrc
“发号施令，有生力量，丧魂失魄，熟视无睹，蠢蠢欲动，指手划脚，言听计从，不闻不问，不以为奇，虎视眈眈” 中，最适合放在段落_ “张豪龙透露，张柏芝在怀上Quintus之前，曾经怀上另一胎，当时谢霆锋忙于拍戏，对张柏芝__。之后张柏芝因独力照顾Lucas，饱受压力，最终保不住腹中胎儿，流产了。张豪龙称：“当时姐姐（张柏芝）哭着打电话给霆锋，谁知霆锋不但没有安慰她，更冷冷抛下一句‘关我屁事’，然后挂线！”” _中的下划线处的是：,不闻不问,"['发号施令', '有生力量', '丧魂失魄', '熟视无睹', '蠢蠢欲动', '指手划脚', '言听计从', '不闻不问', '不以为奇', '虎视眈眈']",mrc
"对话：男：今天的嘉宾是一个在全国范围内家喻户晓的人，她曾经做着特别平凡的工作，但是获得了巨大的声誉，我刚才在后台见到她，还是那么漂亮，她就是李素丽。掌声欢迎李素丽大姐。女：谢谢，大家好。男：听说，你有好多生活中的小窍门，比如大姐的那个皮肤，保养得特别好，听说你有一个窍门，特别逗，每天用醋洗脸，是吧？女：对，白醋，在座的不用，都是年轻人。男：以后，以后需要。女：你们是天生丽质，我今年都46岁了，也就这几年才开始，要不就太显老了。女人都爱美，我一直比较注重我自己的形象，后来我就跟那些美容专家什么的学，每天用洗面奶把脸洗净，完了倒一点温水，倒那么一小盖醋洗，洗完了之后，你涂点儿爽肤水，抹点儿晚霜什么的就没事了。男：您现在还会去坐公共汽车吗？女：我就是靠公共汽车。男：靠公共汽车？女：我上下班是走着去，我每天要走将近一个小时，完了再坐几站车，挺好的。男：你在车上，那个职业病会突然出现吗？就是本能地要帮人。女：你甭说在公交车上，就是我坐电梯、坐地铁什么的，只要看见岁数大的，就想说：您慢点儿，您慢点儿，我这儿扶着呢，您甭着急。已经习惯了。男：可是您现在再坐地铁、坐车什么的方便吗？还是会有很多坐车的人知道你是李素丽。女：对对对，所以我现在上班的打扮，有可能就是牛仔衣，戴个墨镜，把头发一散，就这样。我每天6点多钟就从家出来，一个是锻炼，再一个那会儿人少。男：对，那您从来没赶上过高峰的时候？女：没有。问题：女的曾经是做什么的？选项：售货员,电梯小姐,美容专家,公车售票员_答案：",公车售票员,"['售货员', '电梯小姐', '美容专家', '公车售票员']",mrc
